date        spec  algo    leaves  root
2026-07-31  v2  sha256  5981  1094104211146f917767d9c6ebf541cc6b6b761d4d421d065ca260c904a5c91e
2026-08-01  v2  sha256  5999  48e5e49a0ce74a338d01b01be0f1f2d08ea2b94f05820d86bfc7e905ce02e8cc
2026-08-02  v2  sha256  6154  9d702d539578cee91119cf1420c82b22cf528aa4a45245679d91ec27a3fa362a
2026-08-03  v2  sha256  6274  5e991985c15db86632b04ade2c9b5e5e99bc043b96856d34d6dd6992e4b442f5
2026-08-04  v2  sha256  6835  68cdb8a6c2e92a0a22370fcc435a8aaca1be00e4cb767fd1f3fd5aefa0145af3
2026-08-05  v2  sha256  6993  8dc98d7527d44ed43fbf523b8fbb087e6d7a64bd88d8c74442ce0cdde86009db
2026-08-06  v2  sha256  7050  5e921eb278b7b973b7b756fc8a30a25ddf5dabf1ca386ebef0bb604d45b96a13
2026-08-07  v2  sha256  7082  e469606a460a27013b0a4ed3510bb10b4ea3a9d60f80b58e84773765715b14e2
2026-08-08  v2  sha256  7130  f6b8194a81540416589c4be9c2c5d554f84de3c9a1a96386a1332c2aa06278cd
2026-08-09  v2  sha256  7181  be39673ad9e9c8e181a095efdc58c1d258d54b0239c30b20fcced16435efbf11
2026-08-10  v2  sha256  7231  54e325c5e3e6a001fc84f4a213aedb92ede03d32249660f2e8115419dbd4ad1e
2026-08-11  v2  sha256  7308  ea738bfc6826e0e27151098b93356f98197e7e9ff100880e49226f5e6efc7e66
2026-08-12  v2  sha256  7353  c65f96132827a30afa9d593caba857e72869c1296264f0d09999cbbbf61c393e
2026-08-13  v2  sha256  7375  578e20b26f8f7c2609e96daa271f7670c14ee93889d633aebf28d123f929dfbc
2026-08-14  v2  sha256  7390  f8a61c107910923bf4129ee2a7dee39fcffb7b279c4687d30a6d2632a356d42c
2026-08-15  v2  sha256  7406  dcb7ca4952bb3118c68d6d1726cf4b20f95616c619f709d0bbe6d4f9882c7794
2026-08-16  v2  sha256  7665  aab37cfb11750b770bc003dd4cad66ab183320c1bdc3bb2b0447b7415400fb0f
2026-08-17  v2  sha256  7803  4649db00486a34bdb3f1d2fdea547e6e0d03964f19544bf9e82a9b2afb04856b
